"SAMPLEID","StationCode","SiteDate","PerSampID","RepNum","COUNT","BC_1.r","BC_2.r","BC_3.r","BC_4.r","BC_5.r","TROPHIC_1.r","TROPHIC_2.r","TROPHIC_3.r","TROPHIC_4.r","TROPHIC_5.r","TROPHIC_6.r","TROPHIC_7.r","SAP_1.r","SAP_2.r","SAP_3.r","SAP_4.r","SAP_5.r","PT_1.r","PT_2.r","PT_3.r","PT_4.r","PT_5.r","O_1.r","O_2.r","O_3.r","O_4.r","O_5.r","SALINITY_1.r","SALINITY_2.r","SALINITY_3.r","SALINITY_4.r","Bahls_1.r","Bahls_2.r","Bahls_3.r","LOW_P.r","HIGH_P.r","LOW_N.r","HIGH_N.r","BENTHIC_HABIT.r","SESTONIC_HABIT.r","N_FIXER.r","NON_N_FIXER.r","NON_MOTILE.r","WEAKLY_MOTILE.r","SLIGHTLY_MOTILE.r","MODERATELY_MOTILE.r","HIGHLY_MOTILE.r","VERY_SMALL.r","SMALL.r","MEDIUM.r","BIG.r","VERY_BIG.r","ACHNANTHIDIUM.r","ACHNANTHIDIAE.r","BACILLARIACEAE.r","NAVICULA.r","STALKED.r","ADNATE.r","HIGHLY_MOTILE.1.r","ARAPHID.r","CENTRIC.r"
"1116_0","MRW0213","MRW0213_2017_8_24",1116,0,1,15,13,8,3,0,9,5,2,4,0,0,4,11,8,3,0,0,0,0,0,2,0,16,4,1,0,0,13,15,0,0,0,4,14,9,2,8,3,39,3,0,42,9,1,16,12,5,17,11,10,0,0,2,10,5,4,3,8,16,7,2
"1117_0","MRW0200","MRW0200_2017_8_22",1117,0,1,3,5,5,0,0,3,1,1,1,0,0,1,3,2,1,0,0,0,0,0,1,0,6,0,0,0,0,3,5,0,0,0,1,4,6,0,5,0,11,2,0,13,7,0,4,3,0,5,4,5,0,0,2,4,0,0,2,4,1,6,1
"1117_1","MRW0200","MRW0200_2017_8_22_Rep",1117,1,1,6,9,5,0,0,3,3,1,1,0,0,2,4,3,1,0,0,0,0,0,1,0,8,0,0,0,0,7,5,0,0,0,1,6,6,0,8,0,20,3,0,22,8,2,7,5,1,10,3,6,0,0,2,6,1,0,4,5,2,6,2
"1118_0","MRWI41","MRWI41_2017_8_25",1118,0,1,9,13,10,8,0,5,4,2,4,5,0,4,8,11,5,1,0,0,3,0,4,1,11,5,5,0,0,7,21,0,0,1,7,13,9,2,10,6,38,5,0,42,10,3,11,14,5,14,14,10,1,0,3,10,4,3,6,9,13,7,3
"1119_0","MRW0203","MRW0203_2017_8_28",1119,0,1,10,12,13,13,3,6,3,3,5,9,0,8,7,16,8,1,0,0,4,1,6,3,13,6,7,2,0,6,26,2,1,1,8,11,6,5,9,12,53,1,0,54,8,3,15,20,8,17,17,8,3,0,3,11,7,5,4,11,23,7,1
"1120_0","MRW0216","MRW0216_2017_8_31",1120,0,1,16,15,10,15,4,7,4,5,6,9,1,11,12,18,7,2,1,2,1,2,4,3,21,5,5,3,0,12,32,3,2,4,9,19,11,10,14,14,63,2,0,64,15,5,15,22,8,21,19,13,3,0,2,12,7,7,5,12,23,14,1
"1121_0","MRW0214","MRW0214_2017_8_16",1121,0,1,10,11,6,3,0,4,4,5,1,2,0,3,10,6,1,0,0,0,0,0,3,1,13,1,1,0,0,7,13,0,0,0,2,12,9,2,10,4,28,2,0,29,9,3,9,8,1,12,12,4,1,0,2,8,1,1,1,9,4,8,1
"1122_0","MRW0215","MRW0215_2017_8_17",1122,0,1,14,18,16,4,2,6,3,6,5,4,0,8,13,11,4,2,0,1,1,0,4,4,19,2,3,1,0,9,25,4,0,1,5,13,14,3,18,7,56,2,0,57,17,4,17,16,4,23,19,7,1,0,3,12,4,1,5,12,16,16,1
"1184_0","WB0490","WB0490_2018_7_16",1184,0,1,3,5,12,14,4,0,1,1,2,16,1,4,2,16,9,1,1,1,3,2,8,6,7,7,8,2,0,0,25,3,3,1,11,8,3,11,4,15,42,0,1,41,1,2,7,17,16,5,18,5,2,1,1,2,13,8,4,3,32,1,0
"1185_0","WB0492","WB0492_2018_7_17",1185,0,1,0,6,6,7,1,0,0,1,1,7,1,2,0,6,7,0,1,1,2,0,4,2,4,2,5,1,0,1,12,1,0,1,3,5,5,5,6,8,22,0,0,22,2,2,4,10,4,3,10,5,1,0,1,2,3,4,3,3,11,2,0
"1185_1","WB0492","WB0492_2018_7_17_Rep",1185,1,1,2,8,5,8,2,0,0,1,2,7,2,5,0,9,6,2,1,2,1,1,4,4,4,3,6,1,0,0,16,2,0,2,6,6,5,6,7,10,27,0,0,27,2,1,6,11,7,5,10,5,1,1,1,2,5,4,4,2,15,2,0
"1186_0","WB0443","WB0443_2018_7_18",1186,0,1,0,4,10,14,5,0,1,1,5,10,2,4,0,12,11,2,1,2,3,3,5,4,4,7,9,1,0,2,23,2,0,2,9,8,5,8,4,16,38,0,0,38,2,2,7,15,12,6,17,4,3,0,1,3,12,8,4,4,26,2,0
"1187_0","WB0491","WB0491_2018_7_18",1187,0,0.996732026143791,4,8,8,13,7,1,0,2,3,14,2,5,3,15,8,2,1,3,3,1,5,5,6,8,7,1,0,3,27,1,1,4,7,8,5,8,6,12,45,0,0,45,5,2,9,13,16,6,17,6,3,1,1,3,13,7,3,5,26,5,0
"1188_0","SR0107","SR0107_2018_8_13",1188,0,1,4,8,9,9,4,1,1,1,2,10,2,6,0,12,7,2,1,2,1,1,4,5,4,7,5,0,0,1,23,0,0,3,9,10,9,4,12,7,36,0,2,34,4,2,8,16,6,7,9,7,4,0,1,1,6,6,6,2,19,4,0
"1188_1","SR0107","SR0107_2018_8_13_Rep",1188,1,1,4,6,12,12,5,1,1,2,3,12,1,6,1,13,8,4,1,1,1,2,4,5,5,7,7,1,1,1,27,1,0,3,10,11,9,4,11,8,41,2,2,41,7,3,8,16,9,9,13,7,4,0,1,2,9,7,4,3,23,5,2
"1189_0","SR0106","SR0106_2018_8_14",1189,0,1,4,14,11,8,1,2,4,3,5,5,1,7,5,14,5,2,1,1,1,1,4,4,9,8,5,0,0,3,28,0,0,2,6,16,11,3,14,7,43,0,2,41,7,4,7,19,7,8,15,9,4,1,2,5,7,7,7,6,19,7,0
"1190_0","SRI8","SRI8_2018_8_14",1190,0,0.99344262295082,8,10,9,11,2,5,1,4,3,5,1,7,7,14,6,2,0,1,3,0,4,4,9,6,6,1,0,6,26,0,0,3,5,15,9,3,13,9,45,2,0,47,9,3,11,16,8,8,19,10,3,0,1,6,7,5,5,6,19,8,1
"1191_0","SR0108","SR0108_2018_8_15",1191,0,1,2,17,14,10,5,1,1,4,4,9,2,7,2,16,7,3,1,2,3,1,4,3,7,9,5,1,0,5,29,0,0,5,9,12,7,7,12,10,50,3,1,52,13,2,9,19,11,11,20,8,4,0,1,4,10,6,4,6,22,10,3
"1192_0","sr0105","sr0105_2018_8_15",1192,0,1,4,9,13,12,3,1,4,4,4,8,1,6,4,17,6,1,1,1,4,1,5,6,11,7,4,2,0,4,28,1,0,3,9,12,7,5,9,8,42,2,0,44,9,3,7,16,10,8,20,7,2,0,1,2,9,5,6,4,19,8,1
"1193_0","SR0104","SR0104_2018_8_16",1193,0,1,8,15,10,11,8,2,2,4,6,10,2,10,6,20,5,3,1,3,2,2,4,7,12,9,5,1,0,3,39,1,0,4,7,13,10,5,12,12,56,1,0,57,14,2,11,18,13,11,24,9,2,0,2,4,13,7,4,6,24,14,0
"1194_0","MRWI41","MRWI41_2018_8_21",1194,0,1,11,14,9,7,5,6,3,4,2,8,1,5,10,12,8,3,1,2,4,1,2,3,15,3,7,1,1,9,27,1,0,3,10,10,9,6,11,9,47,2,0,48,10,3,15,12,9,16,19,7,0,0,3,11,9,3,3,10,16,9,1
"1194_1","MRWI41","MRWI41_2018_8_21_Rep",1194,1,1,8,11,13,10,3,3,3,3,3,8,2,5,6,15,7,1,1,1,3,1,3,4,12,5,5,3,0,6,27,1,0,3,10,13,12,4,13,6,46,4,0,49,13,4,13,13,8,13,20,8,2,0,3,9,7,6,6,8,18,11,2
"1195_0","MRW0216","MRW0216_2018_8_27",1195,0,1,16,21,17,15,4,6,4,5,6,14,0,13,14,19,12,2,0,1,5,1,5,5,22,8,9,3,0,13,39,2,0,2,11,20,12,4,17,10,73,6,2,77,21,5,16,24,15,18,29,16,3,0,2,13,13,10,4,13,31,17,4
"1196_0","MRW0213","MRW0213_2018_8_20",1196,0,1,7,10,7,7,3,2,6,2,1,3,0,2,8,5,2,2,0,2,1,0,1,2,7,4,1,2,0,7,12,0,1,3,3,5,8,4,7,5,33,3,0,36,7,2,10,11,7,14,12,2,0,0,3,9,7,3,3,9,16,5,2
"1197_0","MRW0200","MRW0200_2018_8_21",1197,0,1,7,8,4,3,0,2,1,2,0,0,0,5,5,3,1,0,0,0,0,0,1,1,6,2,0,0,0,5,5,0,0,0,1,6,7,2,7,4,24,1,0,24,2,2,10,11,0,9,5,6,0,1,3,9,0,1,6,6,7,1,1
"1198_0","MRW0212","MRW0212_2018_8_22",1198,0,1,13,8,8,5,0,5,3,3,3,5,0,5,11,8,5,1,0,1,2,0,2,1,14,3,5,1,0,9,17,0,0,1,2,14,9,2,12,4,36,2,0,37,6,5,11,13,4,12,13,5,2,1,3,12,3,4,3,10,13,5,1
"1199_0","MRW0203","MRW0203_2018_8_28",1199,0,1,11,14,11,11,3,3,3,4,6,6,1,9,7,15,6,1,1,1,4,0,5,5,11,7,5,2,0,4,29,1,0,2,9,13,9,5,13,10,52,3,0,55,10,3,13,23,7,15,21,12,2,0,3,9,6,10,8,9,20,8,2
"1200_0","MRW0214","MRW0214_2018_8_14",1200,0,1,8,13,12,6,1,3,4,4,2,5,0,5,13,7,3,3,0,1,1,0,3,2,17,1,3,2,0,9,19,0,0,1,5,10,8,2,10,5,41,2,0,42,9,3,15,15,2,15,19,4,1,0,3,12,2,5,4,9,10,8,1
"1201_0","MRW0215","MRW0215_2018_8_13",1201,0,1,9,12,15,7,2,1,2,4,4,7,1,7,7,18,5,1,1,1,2,0,2,8,14,5,8,0,0,4,29,0,0,1,6,13,14,2,14,5,46,4,0,49,15,3,12,12,8,12,16,7,2,1,3,8,8,5,7,9,20,12,2
"1202_0","MRW4","MRW4_2018_9_11",1202,0,1,4,9,9,2,1,0,2,4,1,5,0,3,3,9,4,0,0,0,2,0,3,2,7,2,4,0,0,3,12,0,0,0,4,5,9,1,8,3,25,2,0,28,9,3,6,10,0,9,10,4,1,1,3,5,0,2,5,6,5,9,0
"1203_0","MRW50","MRW50_2018_9_13",1203,0,1,4,12,13,11,3,1,2,3,5,13,2,3,4,15,7,1,1,2,3,0,6,3,10,6,7,0,0,4,27,3,0,2,9,12,10,4,10,10,45,1,0,47,12,2,11,15,7,15,20,4,1,1,3,6,7,5,5,8,18,11,1
"1204_0","WB0453","WB0453_2018_9_17",1204,0,1,10,9,15,11,3,0,3,3,7,15,1,4,4,21,7,0,1,1,3,0,6,6,10,9,7,0,0,4,31,4,1,1,10,13,10,5,13,11,54,1,3,52,11,3,13,17,11,15,24,5,2,1,1,8,11,5,6,10,26,11,0
"1205_0","WB26","WB26_2018_9_19",1205,0,1,1,10,9,8,2,0,3,1,5,10,0,3,2,13,3,3,0,1,1,1,6,3,7,8,4,0,1,1,18,3,0,1,5,10,6,2,6,10,32,1,1,32,6,3,3,18,3,6,15,6,1,0,1,1,3,5,7,3,11,5,1
"1205_1","WB26","WB26_2018_9_19_Rep",1205,1,1,2,8,7,7,2,0,0,1,5,6,1,4,1,11,4,1,1,1,0,0,6,1,5,6,3,1,0,0,18,2,0,2,5,8,4,4,5,8,27,0,2,25,5,3,5,12,3,7,13,5,2,0,1,1,4,6,2,4,13,5,0
"1206_0","WB0494","WB0494_2018_9_18",1206,0,1,5,10,15,13,4,0,1,3,9,14,1,3,4,19,8,1,1,2,3,1,6,5,10,10,6,1,0,4,30,2,0,2,8,15,6,5,10,12,50,1,2,49,8,3,15,15,10,13,23,3,3,1,2,7,10,6,5,10,25,7,1
"1207_0","WB0452","WB0452_2018_9_12",1207,0,1,10,11,15,10,4,1,2,5,10,8,1,8,10,18,11,1,1,1,2,2,5,3,16,10,10,0,0,4,39,1,1,2,9,15,12,4,10,9,48,5,0,53,18,3,11,14,8,13,23,8,2,0,2,9,8,4,1,10,22,14,3
"1208_0","MRW0146","MRW0146_2018_8_29",1208,0,1,10,15,14,9,5,2,2,4,5,10,1,10,6,15,11,2,1,1,4,0,3,3,14,5,13,1,0,5,33,1,0,2,9,15,13,5,15,8,50,4,0,54,17,4,14,15,5,18,20,9,3,0,2,10,5,5,4,10,18,14,2
"1209_0","MRW20","MRW20_2018_9_5",1209,0,1,9,16,12,10,0,3,3,7,8,6,0,7,12,16,5,1,0,0,1,2,3,4,20,5,5,0,0,5,31,0,0,0,5,17,12,2,15,6,45,2,1,46,12,3,11,20,3,16,17,9,3,1,2,8,3,7,4,9,17,10,2
"1210_0","MRW47","MRW47_2018_10_11",1210,0,1,4,15,13,14,6,2,2,3,5,13,2,7,5,19,8,5,1,3,3,0,5,6,11,10,7,1,1,3,32,2,2,5,8,17,9,10,12,15,54,2,1,55,8,3,14,16,15,11,22,6,3,1,3,7,15,7,8,7,30,6,2
"1211_0","WB0405","WB0405_2018_8_1",1211,0,1,0,9,5,14,5,1,1,2,2,14,2,2,0,10,9,4,1,3,3,1,4,1,3,6,6,4,0,3,21,2,0,6,7,7,5,9,4,14,37,0,0,37,1,3,6,16,11,10,17,4,1,0,3,3,9,7,7,4,19,1,0
"1212_0","WB0489","WB0489_2018_8_1",1212,0,1,1,8,7,15,5,1,1,2,2,13,2,3,0,12,7,4,1,3,2,0,5,2,3,6,5,4,0,3,23,2,0,5,6,8,5,8,4,13,41,0,0,41,3,3,8,16,11,9,18,5,2,0,2,2,9,9,7,3,23,3,0
"1213_0","WB0487","WB0487_2018_8_1",1213,0,1,0,7,8,13,5,1,1,2,2,13,2,2,0,14,5,4,1,3,2,0,6,2,4,8,5,3,1,2,21,1,0,5,6,7,5,7,4,12,36,0,0,36,1,3,9,16,7,10,17,3,2,0,2,2,7,6,7,4,20,1,0
"1214_0","WB0346","WB0346_2018_8_1",1214,0,1,0,4,8,14,7,1,1,1,3,12,2,4,0,13,9,3,1,2,4,0,5,2,5,10,4,3,0,2,22,2,0,4,9,9,3,6,4,11,35,1,0,36,2,2,6,13,13,8,12,4,4,0,1,1,12,6,5,1,24,1,1
"1214_1","WB0346","WB0346_2018_8_1_Rep",1214,1,1,1,3,5,11,4,2,0,1,2,8,2,3,1,8,7,4,1,2,4,0,2,2,4,5,5,3,0,1,18,1,0,4,7,5,3,4,3,9,26,0,0,26,1,2,8,7,8,8,12,1,1,0,1,4,7,5,1,4,17,1,0
"1215_0","WB0302","WB0302_2018_8_2",1215,0,1,1,4,10,11,5,1,1,1,3,11,2,3,1,12,6,5,1,4,2,0,6,2,4,7,6,4,0,2,20,2,0,6,6,7,4,7,4,11,31,1,0,32,4,3,8,8,9,7,11,7,2,0,2,3,8,5,3,5,17,3,1
"1216_0","WB0498","WB0498_2018_8_2",1216,0,1,0,8,5,12,5,1,1,1,2,14,1,3,0,10,10,4,0,2,3,0,3,2,5,7,5,4,0,2,21,2,0,4,6,8,5,7,5,12,35,0,0,35,3,2,5,14,11,7,13,5,2,0,1,2,9,6,6,2,19,3,0
"1217_0","WB0311","WB0311_2018_8_2",1217,0,1,1,6,5,10,4,0,2,1,2,9,1,3,1,8,6,5,0,2,2,0,2,2,5,5,6,3,0,1,20,0,0,3,6,7,5,4,5,7,27,1,0,28,3,2,5,9,9,4,13,5,1,0,1,3,8,3,5,3,15,3,0
"1218_0","WB0307","WB0307_2018_8_6",1218,0,1,2,7,10,17,6,1,1,1,4,17,2,4,1,15,11,5,1,3,5,0,5,3,8,7,9,4,0,4,30,2,0,5,9,10,5,10,6,16,45,2,0,47,8,3,10,15,11,9,21,7,2,0,1,3,9,7,7,4,21,7,1
"1219_0","WB0488","WB0488_2018_8_6",1219,0,1,1,9,11,15,6,0,1,3,2,16,2,4,1,14,9,5,1,3,4,0,6,4,7,8,7,4,0,2,29,1,0,4,9,11,6,7,5,14,43,1,0,44,3,3,9,20,9,8,17,8,4,0,2,4,8,9,10,5,22,2,1
"1309_0","WB0405","WB0405_2019_9_16",1309,0,0.993333333333333,3,4,8,16,4,0,2,1,2,14,0,3,2,13,5,2,0,1,2,0,5,4,6,6,4,3,0,1,20,3,0,2,5,10,4,8,4,12,36,0,0,36,1,3,5,16,12,6,16,6,3,0,2,2,10,10,6,3,28,1,0
"1310_0","WB0489","WB0489_2019_9_16",1310,0,0.995024875621891,1,6,10,19,9,1,2,1,3,16,1,3,2,16,7,3,1,1,2,0,7,4,7,9,4,3,1,3,22,6,0,2,9,12,4,15,4,19,45,1,0,46,1,3,7,20,15,7,19,10,4,0,1,1,12,13,7,3,34,0,1
"1311_0","WB0488","WB0488_2019_9_16",1311,0,1,1,9,9,17,4,1,2,2,3,15,0,6,2,15,7,5,0,2,3,0,8,4,6,8,9,4,0,2,24,4,0,3,6,12,5,8,6,18,42,0,0,42,2,3,10,17,10,8,20,7,3,0,2,4,9,8,8,6,22,2,0
"1312_0","WB0487","WB0487_2019_9_16",1312,0,1,1,7,9,16,6,0,0,3,3,16,0,2,1,15,7,2,0,0,3,0,9,4,5,9,5,3,0,0,21,3,0,1,7,8,4,9,4,16,40,1,0,41,2,3,11,16,9,10,15,7,5,0,2,4,7,8,7,5,23,1,1
"1313_0","WB0346","WB0346_2019_9_16",1313,0,1,0,6,9,17,5,1,2,1,2,15,0,3,2,14,7,3,0,0,3,0,7,3,6,7,7,3,0,3,23,2,0,1,6,11,5,10,4,17,40,0,0,40,1,3,9,14,13,7,17,10,2,0,1,3,11,8,9,4,24,1,0
"1314_0","WB0498","WB0498_2019_9_17",1314,0,1,0,7,6,13,4,0,0,1,2,12,0,3,0,11,5,4,0,1,2,0,6,2,3,6,5,4,0,0,19,2,1,3,4,8,4,9,5,14,33,0,1,32,2,3,7,14,7,6,15,7,2,0,1,3,6,7,7,4,18,2,0
"1315_0","WB0311","WB0311_2019_9_17",1315,0,0.998347107438016,0,8,9,16,3,0,1,2,2,15,1,4,0,13,8,4,0,0,4,1,8,1,4,9,7,3,1,3,21,3,0,2,6,12,3,7,3,16,39,2,0,41,3,3,10,15,10,5,18,9,2,0,2,4,8,9,9,6,20,1,2
"1315_1","WB0311","WB0311_2019_9_17_Rep",1315,1,1,0,6,7,16,9,1,1,1,2,16,1,4,1,12,9,5,1,2,3,1,6,2,5,6,7,5,0,3,27,2,1,4,8,10,5,14,5,19,43,0,0,43,1,3,7,17,16,8,21,8,2,0,1,3,13,8,8,4,27,1,0
"1316_0","WB0307","WB0307_2019_9_17",1316,0,0.996699669966997,1,5,10,20,7,1,1,1,2,18,1,4,2,15,9,5,1,2,4,0,7,3,6,9,8,5,0,3,27,2,0,4,8,9,4,10,6,17,46,0,1,45,2,3,10,15,16,11,17,9,2,0,2,4,12,7,7,5,30,2,0
"1317_0","WB0302","WB0302_2019_9_17",1317,0,1,3,10,8,23,5,2,3,0,5,16,0,5,1,13,11,6,0,2,6,1,5,2,6,10,9,4,0,5,26,2,1,5,9,10,6,8,6,12,50,4,0,54,9,3,11,18,13,12,20,8,3,0,1,5,10,7,4,4,26,6,3
"1318_0","WB0518","WB0518_2019_9_17",1318,0,0.993355481727575,2,10,11,11,4,0,1,2,3,16,0,5,0,19,8,1,0,0,3,0,7,4,7,9,5,2,0,1,22,4,0,0,7,13,6,8,8,14,40,0,1,39,2,2,10,16,10,9,14,11,3,0,2,2,10,7,10,4,22,2,0
"1319_0","WB0477","WB0477_2019_8_14",1319,0,0.995016611295681,7,14,16,15,10,4,2,2,6,14,1,6,8,16,8,6,0,2,3,1,5,1,11,9,6,4,1,9,29,5,1,3,9,12,6,12,12,15,66,1,2,65,7,2,23,24,12,25,27,7,3,0,4,14,11,9,6,14,33,6,1
"1320_0","WB0500","WB0500_2019_8_15",1320,0,0.995,11,16,16,16,0,4,3,5,7,10,0,7,10,17,8,1,0,0,4,0,6,2,15,7,9,1,0,5,33,2,0,0,11,13,10,5,15,10,64,0,4,60,8,3,18,27,9,15,25,16,3,0,5,14,7,7,8,15,29,8,0
"1321_0","WB0478","WB0478_2019_8_16",1321,0,1,3,8,14,13,4,2,0,2,2,16,0,6,3,16,9,2,0,0,5,0,5,3,8,9,7,1,1,3,23,4,0,0,8,11,3,9,8,14,44,1,1,44,6,2,9,17,11,10,17,7,3,0,2,6,10,8,4,8,25,5,1
"1322_0","WB25","WB25_2019_8_19",1322,0,0.993355481727575,8,13,16,18,5,3,2,1,9,15,0,4,4,18,10,3,0,0,5,3,8,4,9,11,9,2,1,2,33,3,0,1,12,15,7,9,11,16,65,1,2,64,10,2,15,26,14,13,29,11,3,0,2,9,11,8,9,10,33,9,1
"1322_1","WB25","WB25_2019_8_19_Rep",1322,1,0.993377483443709,5,14,19,14,7,2,2,2,6,17,1,4,4,17,7,8,0,3,4,1,6,4,7,11,8,5,1,6,32,3,0,3,10,13,7,13,11,19,63,2,3,62,9,3,14,28,11,15,27,10,3,0,2,8,10,9,9,9,31,7,2
"1323_0","MRW0232","MRW0232_2019_8_20",1323,0,0.998338870431894,4,7,4,3,0,1,2,1,0,3,0,4,2,5,3,0,0,0,1,0,3,1,6,1,3,0,0,2,9,0,0,0,0,7,7,1,8,3,19,1,0,19,5,3,7,4,1,7,5,5,0,0,3,7,1,1,1,8,3,5,0
"1324_0","MRW0226","MRW0226_2019_8_20",1324,0,0.993344425956739,11,13,12,9,2,4,2,4,3,8,0,7,8,11,6,2,0,0,3,0,6,2,11,4,9,0,0,5,22,1,0,0,6,12,9,4,11,9,47,3,0,49,13,3,13,15,7,13,20,10,2,0,2,12,6,3,4,12,13,11,2
"1325_0","MRW0206","MRW0206_2019_8_20",1325,0,0.993344425956739,9,9,5,2,0,2,0,4,1,2,0,3,6,4,2,1,0,0,1,0,2,1,8,0,3,0,0,2,11,0,0,0,0,8,9,1,10,3,27,1,0,27,4,3,11,8,2,11,5,6,1,1,4,9,2,0,4,10,6,4,0
"1326_0","WB205","WB205_2019_8_21",1326,0,0.996677740863787,11,11,12,15,7,3,4,2,8,11,1,5,8,12,10,5,0,1,3,3,4,1,11,7,10,3,1,3,34,2,0,1,13,12,7,7,11,10,59,3,3,59,9,3,17,24,9,20,20,11,1,0,3,12,8,8,3,11,31,7,2
"148_0","WB0281","WB0281_2007_7_16",148,0,1,3,2,12,12,4,0,0,1,5,13,1,5,0,15,8,4,0,2,2,2,7,2,4,10,8,2,0,1,24,3,1,4,8,9,3,9,7,14,35,0,2,33,3,3,8,12,9,7,16,7,2,0,2,4,9,6,2,6,21,3,0
"149_0","WB0282","WB0282_2007_7_16",149,0,1,3,1,11,11,6,0,0,1,2,16,1,3,0,10,9,4,1,3,4,1,5,1,3,5,8,3,1,0,23,6,0,5,6,7,4,8,6,14,33,2,3,32,5,2,7,13,8,6,16,4,4,0,1,3,7,6,2,5,19,3,2
"1498_0","MRW0206","MRW0206_2020_8_10",1498,0,1,6,8,7,2,0,1,1,2,0,2,0,4,3,4,2,1,0,0,1,0,2,1,6,1,3,0,0,3,11,0,0,0,2,5,9,2,10,3,26,1,0,26,6,3,7,10,1,7,11,5,1,0,3,6,1,2,3,7,6,6,0
"1499_0","MRW0226","MRW0226_2020_8_11",1499,0,1,7,8,11,7,1,1,2,3,1,4,0,5,6,7,3,2,0,0,1,0,3,1,10,2,3,1,0,4,17,0,0,0,3,8,9,3,10,6,37,1,0,38,8,4,10,14,3,12,16,3,2,0,2,7,4,4,3,6,11,8,0
"150_0","WB0283","WB0283_2007_7_17",150,0,1,4,5,8,12,5,0,1,0,5,19,1,4,2,14,9,4,1,4,5,1,8,1,4,8,9,4,0,1,27,5,0,4,11,8,3,13,6,17,33,2,3,32,6,1,8,12,8,6,19,5,3,0,2,4,7,4,3,6,18,4,2
"1500_0","MRW0232","MRW0232_2020_8_11",1500,0,1,6,5,7,2,1,2,2,3,1,3,0,2,5,5,2,0,0,0,1,0,2,2,9,1,2,0,0,3,11,0,0,0,2,5,7,1,7,2,23,0,0,22,5,3,6,7,2,6,9,3,1,0,3,7,2,1,1,8,6,5,0
"1501_0","WB0500","WB0500_2020_8_11",1501,0,1,12,15,15,14,5,4,4,2,6,11,0,9,10,14,11,2,0,0,3,1,4,3,14,7,7,2,0,4,34,2,0,0,10,18,12,7,17,10,67,1,2,66,12,3,18,22,13,20,27,9,1,0,4,13,13,8,6,12,31,12,0
"1502_0","WB205","WB205_2020_8_12",1502,0,1,10,11,14,14,7,5,3,2,6,11,1,8,11,13,10,3,0,1,4,2,3,4,13,6,9,2,0,5,32,3,0,2,10,12,6,9,14,14,63,1,4,60,9,3,19,18,15,19,21,6,5,0,3,13,14,5,4,13,30,8,1
"1502_1","WB205","WB205_2020_8_12_Rep",1502,1,0.993344425956739,13,12,14,17,7,4,6,3,9,14,1,6,10,17,12,2,1,1,4,3,5,4,13,9,11,2,0,8,35,3,0,2,14,12,5,9,10,14,67,1,4,64,9,3,18,23,15,18,27,11,2,0,2,14,14,8,3,14,35,8,1
"1503_0","WB25","WB25_2020_8_13",1503,0,0.976705490848586,6,12,18,19,6,3,0,2,8,16,1,9,6,17,13,4,1,2,4,2,6,2,10,8,10,3,1,4,34,5,1,3,10,18,5,10,13,19,65,1,3,63,8,2,18,27,12,15,27,14,4,0,2,10,11,12,8,12,34,7,1
"1504_0","WB0477","WB0477_2020_8_13",1504,0,0.995008319467554,2,13,16,11,7,1,2,1,5,12,0,9,3,17,6,4,0,1,2,1,8,3,8,8,6,2,1,2,28,4,1,1,8,11,5,9,10,15,53,1,2,52,8,2,12,20,12,12,22,8,3,0,2,7,12,5,7,9,26,7,1
"1505_0","WB0478","WB0478_2020_8_14",1505,0,0.996666666666667,7,10,16,17,9,2,3,2,11,14,0,9,9,20,8,4,0,1,1,2,7,3,14,11,8,2,1,3,37,4,0,1,13,13,6,11,12,15,62,2,3,61,10,2,15,25,12,14,30,9,2,0,3,9,13,8,5,11,35,8,2
"151_0","WB0284","WB0284_2007_7_18",151,0,1,3,4,8,8,3,0,1,0,4,11,2,3,1,13,2,3,1,3,1,0,6,1,4,7,4,1,1,0,20,3,0,3,9,7,4,7,7,9,26,1,3,24,6,0,5,10,6,6,11,6,3,0,2,2,6,3,4,3,13,5,1
"152_0","WB0285","WB0285_2007_7_23",152,0,1,4,6,11,16,7,2,2,1,8,14,2,8,4,16,12,6,1,5,4,2,7,1,10,8,9,4,1,3,33,5,1,6,12,11,4,14,8,20,44,1,1,44,5,2,12,16,10,13,22,5,2,0,2,6,9,7,4,7,22,4,1
"153_0","SR0054","SR0054_2007_7_24",153,0,1,3,7,10,8,7,1,1,0,5,16,1,7,3,15,8,3,1,3,3,1,6,1,9,5,8,2,1,2,28,5,0,4,10,9,4,11,9,12,34,1,3,32,8,1,5,11,10,9,14,8,1,0,1,1,10,3,4,3,17,7,1
"154_0","WB184","WB184_2007_8_20",154,0,1,3,4,12,15,12,1,1,1,3,19,2,5,2,15,12,5,1,4,5,1,4,2,8,5,10,3,1,3,31,4,1,7,9,10,2,16,6,16,46,2,2,46,5,2,14,13,14,12,21,8,1,0,2,6,14,6,2,6,28,3,2
"155_0","WB222","WB222_2007_8_20",155,0,1,3,2,13,12,8,1,0,1,4,15,2,4,0,12,12,4,1,3,6,2,3,1,6,5,10,2,1,2,25,3,0,4,11,5,1,12,3,15,37,2,0,39,6,2,10,11,10,10,18,4,2,0,1,3,10,7,0,4,24,4,2
